ID;Наименование товара;Ссылка на товар;Регулярная цена;Промо цена;Бренд
1056879;Sterilized Grain free Корм сухой для стерилизованных кошек, с курицей, 10 кг;https://4lapy.ru/catalog/koshki/korm-koshki/korm-suhoy-dlya-sterilizovannyh-koshek-s-kuricey1.html?offer=155686;8999;;Grandin
1050751;Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 4 кг;https://4lapy.ru/catalog/koshki/korm-koshki/classic-korm-dlya-sterilizovannyh-koshek-s-kuricey.html?offer=138270;2029;;Ownat
1011129;Sterilised влажный корм для стерилизованных кошек в соусе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Royal_Canin_Sterilised_pauch_dlya_sterilizovannyh_koshek_starshe_1_goda_v_souse_85_g_1011129.html?offer=41624;77;;Royal Canin
1000715;Sterilised 37 сухой корм для стерилизованных кошек с 1 до 7 лет, 2 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Royal_Canin_Sterilised_37_suhoy_korm_dlya_sterilizovannyh_koshek.html?offer=45708;2275;;Royal Canin
1044812;Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 3 кг;https://4lapy.ru/catalog/koshki/korm-koshki/just-korm-dlya-sterilizovannyh-koshek-bezzernovoy-s-kuricey.html?offer=124629;2545;;Ownat
1054523;Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 8 кг;https://4lapy.ru/catalog/koshki/korm-koshki/korm-suhoy-dlya-koshek-steril-s-yagnenkom.html?offer=148185;3899;2924;Wellkiss
1009314;Nutri Savour влажный корм для взрослых стерилизованных кошек и кастрированный котов, с курицей в соусе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Sterilised_konservirovannyy_korm_dlya_koshek_s_kuritsey_pak__85g_1009314.html?offer=43467;87;;Pro Plan ®
1040175;Сухой корм для стерилизованных кошек, четыре вида мяса, 2 кг;https://4lapy.ru/catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-chetyre-vida-myasa-s-burym-risom-400g.html?offer=112529;2569;;Grandorf
1008824;Sterilised влажный корм для стерилизованных кошек в желе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Royal_Canin_Sterilised_pauch_dlya_sterilizovannyh_koshek_gele_85_g_1008824.html?offer=41622;77;;Royal Canin
1043146;N&D PRIME сухой корм для стерилизованных кошек, с курицей и гранатом, 1,5кг;https://4lapy.ru/catalog/koshki/korm-koshki/farmina-n-d-prime-cat-neutered-chicken-pomegranate-adult-300g.html?offer=119901;2725;;Farmina
1021702;Sterilized Сухой корм для стерилизованных кошек, с ягненком, 3 кг;https://4lapy.ru/catalog/koshki/korm-koshki/korm-sukhoy-dlya-sterilizovannykh-koshek-s-yagnenkom-8-kg.html?offer=44341;2249;1462;Wellkiss
1027893;Sterilised корм для стерилизованных кошек с пониженным содержанием калорий, с курицей, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/monge-cat-sterilised-korm-dlya-sterilizovannyh-koshek-1-5-kg.html?offer=81095;1615;;Monge
1009313;Nutri Savour влажный корм для взрослых стерилизованных кошек и кастрированных котов, с говядиной в соусе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Sterilised_konservirovannyy_korm_dlya_koshek_s_govyadinoy_pak__85g_1009313.html?offer=43461;87;;Pro Plan ®
1042263;Adult Sterilized Ultra Сухой корм для стерилизованных кошек, с индейкой, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/ultra-korm-dlya-sterilizovannyh-koshek-s-indeykoy.html?offer=117421;1575;;Ownat
1054714;Корм сухой для стерилизованных кошек, с ягненком, 7,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom1.html?offer=148720;6799;;Mealfeel
1020145;Sterilised влажный корм для взрослых кошек для стерилизованных с уткой, в соусе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_konservirovannyy_korm_dlya_koshek_s_utkoy_pak__85g_1020145.html?offer=44297;87;;Pro Plan ®
1026803;Sterilised 7+ корм для стерилизованных кошек старше 7 лет, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/korm-suhoy-dlya-koshek-royal-kanin-sterilayzd-7-pak-400-g.html?offer=77326;1707;;Royal Canin
1021714;Functional Nutrition Indor Корм для домашних кошек старше 1 года, с курицей и индейкой, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Mealfeel_suhoy_korm_dlya_koshek_Indoor_kuritsey_i_indeykoy.html?offer=44335;1649;824;Mealfeel
1054710;Корм сухой для стерилизованных кошек, с лососем, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/korm-suhoy-dlya-sterilizovannyh-koshek-s-lososem.html?offer=148712;1499;1274;Mealfeel
1009310;Nutri Savour влажный корм для взрослых кошек с чувствительным пищеварением или особыми предпочтениями в еде, с индейкой в соусе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Delicate_konservirovannyy_korm_dlya_koshek_s_indeykoy_pak__85g_1009310.html?offer=43465;87;;Pro Plan ®
1040167;Сухой корм для домашних кошек, ягненок с индейкой, 2 кг;https://4lapy.ru/catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-domashnih-koshek-yagnenok-s-risom-400g.html?offer=112517;2365;;Grandorf
1051858;Влажный корм (консервы) для взрослых кошек, филе тунца в желе, 80 гр.;https://4lapy.ru/catalog/koshki/korm-koshki/konservirovannyy-korm-dlya-vzroslykh-koshek-file-tuntsa-v-zhele.html?offer=140673;149;;Grandin
1040784;Adult Sterilized Grain Free Сухой корм для стерилизованных кошек, с курицей и индейкой, 1 кг;https://4lapy.ru/catalog/koshki/korm-koshki/ownat-gf-prime-dlya-sterilizovannyh-koshek-1-kg.html?offer=113385;1215;;Ownat
1044815;Adult Grain Free Сухой корм для взрослых кошек, с курицей и индейкой, 1 кг;https://4lapy.ru/catalog/koshki/korm-koshki/gf-prime-korm-suhoy-dlya-vzroslyh-koshek-s-kuricey-i-indeykoy.html?offer=124631;1149;;Ownat
1027904;Monoprotein Sterilised корм для стерилизованных кошек, с уткой, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/monge-cat-monoprotein-sterilized-duck-korm-dlya-sterilizovannyh-koshek-s-u.html?offer=81113;1719;;Monge
1020143;Sterilised влажный корм для взрослых кошек для стерилизованных с океанической рыбой, в соусе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_konservirovannyy_korm_dlya_koshek_s_okeanicheskoy_ryboy_pak_85g_1020143.html?offer=44295;87;;Pro Plan ®
1043142;N&D PRIME сухой корм для кошек, с ягненком и черникой, 1,5кг;https://4lapy.ru/catalog/koshki/korm-koshki/farmina-n-d-prime-cat-lamb-blueberry-adult-300g.html?offer=119896;2725;;Farmina
1040173;Сухой корм для домашних кошек, четыре вида мяса, 2 кг;https://4lapy.ru/catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-domashnih-koshek-chetyre-vida-myasa-s-burym-risom-400g.html?offer=112526;2569;;Grandorf
1043181;Vet Life Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ, с курицей, 2кг;https://4lapy.ru/catalog/koshki/korm-koshki/vet-life-natural-diet-cat-gastro-intestinal-400-gr.html?offer=120008;3045;;Farmina
1004621;Sterilised Сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации, с кроликом, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_kuritsakrolik.html?offer=41891;1755;1492;Pro Plan ®
1000002;Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с лососем, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshekosostunets.html?offer=41879;1755;1492;Pro Plan ®
1016932;Sterilised влажный корм для взрослых кошек для стерилизованных с индейкой, в желе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_Sterilised_konservirovannyy_korm_dlya_sterilizovannyh_koshek_s_Indeykoy__1016932.html?offer=44088;87;;Pro Plan ®
1051856;Влажный корм (консервы) для взрослых кошек, филе тунца с топпингом из креветок в желе, 80 гр.;https://4lapy.ru/catalog/koshki/korm-koshki/konservirovannyy-korm-dlya-vzroslykh-koshek-file-tuntsa-s-toppingom-iz-krevetok-v-zhele.html?offer=140669;149;;Grandin
1000862;Urinary S/O LP34 корм для кошек при заболеваниях дистального отдела мочевыделительной системы, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Royal_Canin_Urinary_SO_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42570;2285;;Royal Canin
1054707;Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/korm-suhoy-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy-i-lososem.html?offer=148706;1499;;Mealfeel
1004622;Delicate сухой корм для взрослых кошек при чувствительном пищеварении с индейкой, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Delicate_suhoy_korm_dlya_koshek_s_chuvstvitelnym_pishchevareniem_indeykaris.html?offer=43214;1755;1492;Pro Plan ®
